Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Vit_C_(mg),Vit_B6_(mg),Vit_B12_(µg),Vit_E_(mg),Vit_D_µg,Cholestrl_(mg),Price,Type
BUTTER,15.87,717,0.85,81.11,0.06,0,0.06,24,0.02,2,24,24,643,0.09,0,0,0.003,0.17,2.32,0,215,3.74,Breakfast
CHEESE,42.41,353,21.4,28.74,2.34,0,0.5,528,0.31,23,387,256,1146,2.66,0.04,0,0.166,1.22,0.25,0.5,75,3.25,Dinner
EGGNOG,82.54,88,4.55,4.19,8.05,0,8.05,130,0.2,19,109,165,54,0.46,0.013,1.5,0.05,0.45,0.21,1.2,59,7.55,Lunch
SOUR DRSNG ,74.79,178,3.25,16.57,4.68,0,4.68,113,0.03,10,87,162,48,0.37,0.01,0.9,0.017,0.33,1.34,0,5,2.98,Breakfast
MILK,87.67,63,3.33,3.46,4.74,0,,128,0.05,13,97,139,57,0.36,0.01,0.9,0.04,0.34,,,2,1.07,Dinner
BUTTER_2,15.87,717,0.85,81.11,0.06,0,0.06,24,0.02,2,24,24,643,0.09,0,0,0.003,0.17,2.32,0,215,8.00,Breakfast
CHEESE_2,42.41,353,21.4,28.74,2.34,0,0.5,528,0.31,23,387,256,1146,2.66,0.04,0,0.166,1.22,0.25,0.5,75,0.71,Dinner
EGGNOG_2,82.54,88,4.55,4.19,8.05,0,8.05,130,0.2,19,109,165,54,0.46,0.013,1.5,0.05,0.45,0.21,1.2,59,3.68,Lunch
SOUR DRSNG _2,74.79,178,3.25,16.57,4.68,0,4.68,113,0.03,10,87,162,48,0.37,0.01,0.9,0.017,0.33,1.34,0,5,2.02,Breakfast
MILK_2,87.67,63,3.33,3.46,4.74,0,,128,0.05,13,97,139,57,0.36,0.01,0.9,0.04,0.34,,,2,8.47,Dinner
BUTTER_3,15.87,717,0.85,81.11,0.06,0,0.06,24,0.02,2,24,24,643,0.09,0,0,0.003,0.17,2.32,0,215,6.68,Breakfast
CHEESE_3,42.41,353,21.4,28.74,2.34,0,0.5,528,0.31,23,387,256,1146,2.66,0.04,0,0.166,1.22,0.25,0.5,75,9.84,Dinner
EGGNOG_3,82.54,88,4.55,4.19,8.05,0,8.05,130,0.2,19,109,165,54,0.46,0.013,1.5,0.05,0.45,0.21,1.2,59,1.76,Lunch
SOUR DRSNG _3,74.79,178,3.25,16.57,4.68,0,4.68,113,0.03,10,87,162,48,0.37,0.01,0.9,0.017,0.33,1.34,0,5,2.55,Breakfast
MILK_3,87.67,63,3.33,3.46,4.74,0,,128,0.05,13,97,139,57,0.36,0.01,0.9,0.04,0.34,,,2,8.82,Dinner
BUTTER_4,15.87,717,0.85,81.11,0.06,0,0.06,24,0.02,2,24,24,643,0.09,0,0,0.003,0.17,2.32,0,215,4.04,Breakfast
CHEESE_4,42.41,353,21.4,28.74,2.34,0,0.5,528,0.31,23,387,256,1146,2.66,0.04,0,0.166,1.22,0.25,0.5,75,2.73,Dinner
EGGNOG_4,82.54,88,4.55,4.19,8.05,0,8.05,130,0.2,19,109,165,54,0.46,0.013,1.5,0.05,0.45,0.21,1.2,59,6.91,Lunch
SOUR DRSNG_4,74.79,178,3.25,16.57,4.68,0,4.68,113,0.03,10,87,162,48,0.37,0.01,0.9,0.017,0.33,1.34,0,5,0.15,Breakfast
MILK_4,87.67,63,3.33,3.46,4.74,0,,128,0.05,13,97,139,57,0.36,0.01,0.9,0.04,0.34,,,2,1.50,Dinner
BUTTER_5,15.87,717,0.85,81.11,0.06,0,0.06,24,0.02,2,24,24,643,0.09,0,0,0.003,0.17,2.32,0,215,1.60,Breakfast
CHEESE_5,42.41,353,21.4,28.74,2.34,0,0.5,528,0.31,23,387,256,1146,2.66,0.04,0,0.166,1.22,0.25,0.5,75,4.95,Dinner
EGGNOG_6,82.54,88,4.55,4.19,8.05,0,8.05,130,0.2,19,109,165,54,0.46,0.013,1.5,0.05,0.45,0.21,1.2,59,2.11,Lunch
SOUR DRSNG_6,74.79,178,3.25,16.57,4.68,0,4.68,113,0.03,10,87,162,48,0.37,0.01,0.9,0.017,0.33,1.34,0,5,8.09,Breakfast
MILK_6,87.67,63,3.33,3.46,4.74,0,,128,0.05,13,97,139,57,0.36,0.01,0.9,0.04,0.34,,,2,8.07,Dinner
EGGNOG_7,82.54,88,4.55,4.19,8.05,0,8.05,130,0.2,19,109,165,54,0.46,0.013,1.5,0.05,0.45,0.21,1.2,59,5.29,Lunch
SOUR DRSNG_7,74.79,178,3.25,16.57,4.68,0,4.68,113,0.03,10,87,162,48,0.37,0.01,0.9,0.017,0.33,1.34,0,5,3.56,Breakfast
MILK_7,87.67,63,3.33,3.46,4.74,0,,128,0.05,13,97,139,57,0.36,0.01,0.9,0.04,0.34,,,2,4.02,Dinner
